Year,GeoAreaName,Value
2021,Austria,0.29
2021,Armenia,1552.00
2021,Belgium,1192.00
2021,Bosnia and Herzegovina,572.00
2021,Bulgaria,1154.29
2021,Belarus,13413.65
2021,Croatia,3908.85
2021,Cyprus,8.34
2021,Czechia,472.57
2021,Estonia,5360.00
2021,Finland,126235.00
2021,France,130000.00
2021,Georgia,515.00
2021,Hungary,5993.14
2021,Iceland,14330.00
2021,Ireland,12476.00
2021,Italy,6000.00
2021,Latvia,3447.82
2021,Lithuania,16587.00
2021,Malta,0.09
2021,Montenegro,200.00
2021,Poland,223911.00
2021,Portugal,601.71
2021,Serbia,1356.00
2021,Slovakia,1980.00
2021,Slovenia,351.24
2021,Spain,749.00
2021,Switzerland,1873.03
2021,Tajikistan,1149.40
2021,Türkiye,8701.55
2021,Ukraine,9826.00
2021,North Macedonia,574.20
2021,Uzbekistan,5300.00
2021,Uzbekistan,5300.00
